Month,Date,Shalat,Commitment,Person,Place
August,1,Shubuh,Committed,Alone,Home
August,1,Dzuhur,Committed,Jamaah,Mosque
August,1,Ashar,Committed,Alone,Home
August,1,Maghrib,Committed,Alone,Home
August,1,Isya,Committed,Jamaah,Mosque
August,2,Shubuh,Committed,Alone,Home
August,2,Dzuhur,Committed,Alone,Mosque
August,2,Ashar,Committed,Jamaah,Mosque
August,2,Maghrib,Committed,Alone,Home
August,2,Isya,Committed,Jamaah,Mosque
August,3,Shubuh,Committed,Alone,Home
August,3,Dzuhur,Committed,Jamaah,Mosque
August,3,Ashar,Committed,Jamaah,Mosque
August,3,Maghrib,Committed,Alone,Mosque
August,3,Isya,Committed,Alone,Mosque
August,4,Shubuh,Committed,Alone,Home
August,4,Dzuhur,Abandoned,,
August,4,Ashar,Committed,Alone,Home
August,4,Maghrib,Committed,Alone,Home
August,4,Isya,Committed,Jamaah,Mosque
August,5,Shubuh,Committed,Alone,Home
August,5,Dzuhur,Committed,Alone,Mosque
August,5,Ashar,Committed,Jamaah,Mosque
August,5,Maghrib,Committed,Alone,Home
August,5,Isya,Committed,Jamaah,Mosque
August,6,Shubuh,Committed,Alone,Home
August,6,Dzuhur,Committed,Alone,Home
August,6,Ashar,Committed,Jamaah,Mosque
August,6,Maghrib,Committed,Alone,Home
August,6,Isya,Committed,Jamaah,Mosque
August,7,Shubuh,Committed,Alone,Home
August,7,Dzuhur,Committed,Jamaah,Mosque
August,7,Ashar,Committed,Alone,Home
August,7,Maghrib,Committed,Alone,Home
August,7,Isya,Committed,Alone,Home
August,8,Shubuh,Committed,Alone,Home
August,8,Dzuhur,Committed,Jamaah,Mosque
August,8,Ashar,Committed,Alone,Home
August,8,Maghrib,Committed,Alone,Home
August,8,Isya,Committed,Jamaah,Mosque
August,9,Shubuh,Committed,Alone,Home
August,9,Dzuhur,Committed,Alone,Home
August,9,Ashar,Committed,Alone,Mosque
August,9,Maghrib,Committed,Alone,Home
August,9,Isya,Committed,Alone,Home
August,10,Shubuh,Committed,Alone,Home
August,10,Dzuhur,Committed,Jamaah,Mosque
August,10,Ashar,Committed,Alone,Mosque
August,10,Maghrib,Committed,Alone,Home
August,10,Isya,Committed,Alone,Home
August,11,Shubuh,Committed,Alone,Home
August,11,Dzuhur,Committed,Alone,Home
August,11,Ashar,Committed,Alone,Home
August,11,Maghrib,Committed,Alone,Home
August,11,Isya,Committed,Jamaah,Mosque
August,12,Shubuh,Committed,Alone,Home
August,12,Dzuhur,Committed,Jamaah,Mosque
August,12,Ashar,Abandoned,,
August,12,Maghrib,Committed,Alone,Home
August,12,Isya,Committed,Jamaah,Mosque
August,13,Shubuh,Committed,Alone,Home
August,13,Dzuhur,Committed,Jamaah,Mosque
August,13,Ashar,Abandoned,,
August,13,Maghrib,Committed,Jamaah,Mosque
August,13,Isya,Committed,Jamaah,Mosque
August,14,Shubuh,Committed,Alone,Home
August,14,Dzuhur,Committed,Alone,Home
August,14,Ashar,Committed,Alone,Home
August,14,Maghrib,Committed,Alone,Home
August,14,Isya,Committed,Jamaah,Mosque
August,15,Shubuh,Committed,Alone,Home
August,15,Dzuhur,Committed,Jamaah,Mosque
August,15,Ashar,Committed,Alone,Home
August,15,Maghrib,Committed,Jamaah,Mosque
August,15,Isya,Committed,Jamaah,Mosque
August,16,Shubuh,Committed,Alone,Home
August,16,Dzuhur,Committed,Alone,Home
August,16,Ashar,Committed,Jamaah,Mosque
August,16,Maghrib,Committed,Alone,Home
August,16,Isya,Committed,Jamaah,Mosque
August,17,Shubuh,Committed,Alone,Home
August,17,Dzuhur,Committed,Jamaah,Mosque
August,17,Ashar,Committed,Alone,Home
August,17,Maghrib,Committed,Jamaah,Mosque
August,17,Isya,Committed,Jamaah,Mosque
August,18,Shubuh,Committed,Alone,Home
August,18,Dzuhur,Committed,Alone,Mosque
August,18,Ashar,Committed,Alone,Mosque
August,18,Maghrib,Committed,Alone,Mosque
August,18,Isya,Committed,Alone,Home
August,19,Shubuh,Committed,Alone,Mosque
August,19,Dzuhur,Committed,Alone,Home
August,19,Ashar,Abandoned,,
August,19,Maghrib,Committed,Alone,Home
August,19,Isya,Committed,Jamaah,Mosque
August,20,Shubuh,Committed,Alone,Home
August,20,Dzuhur,Committed,Alone,Home
August,20,Ashar,Committed,Alone,Home
August,20,Maghrib,Committed,Alone,Home
August,20,Isya,Committed,Jamaah,Mosque
August,21,Shubuh,Committed,Alone,Home
August,21,Dzuhur,Committed,Jamaah,Mosque
August,21,Ashar,Committed,Alone,Home
August,21,Maghrib,Committed,Jamaah,Mosque
August,21,Isya,Committed,Jamaah,Mosque
August,22,Shubuh,Committed,Alone,Home
August,22,Dzuhur,Committed,Jamaah,Mosque
August,22,Ashar,Committed,Alone,Home
August,22,Maghrib,Committed,Jamaah,Mosque
August,22,Isya,Committed,Jamaah,Mosque
August,23,Shubuh,Abandoned,,
August,23,Dzuhur,Committed,Alone,Mosque
August,23,Ashar,Committed,Jamaah,Mosque
August,23,Maghrib,Committed,Alone,Mosque
August,23,Isya,Committed,Jamaah,Mosque
August,24,Shubuh,Committed,Alone,Home
August,24,Dzuhur,Committed,Jamaah,Mosque
August,24,Ashar,Abandoned,,
August,24,Maghrib,Committed,Alone,Home
August,24,Isya,Committed,Jamaah,Mosque
August,25,Shubuh,Committed,Alone,Home
August,25,Dzuhur,Committed,Alone,Home
August,25,Ashar,Committed,Jamaah,Mosque
August,25,Maghrib,Committed,Alone,Mosque
August,25,Isya,Committed,Alone,Home
August,26,Shubuh,Committed,Alone,Home
August,26,Dzuhur,Committed,Jamaah,Mosque
August,26,Ashar,Committed,Alone,Home
August,26,Maghrib,Committed,Alone,Home
August,26,Isya,Committed,Jamaah,Mosque
August,27,Shubuh,Committed,Alone,Home
August,27,Dzuhur,Committed,Jamaah,Mosque
August,27,Ashar,Committed,Alone,Home
August,27,Maghrib,Committed,Jamaah,Mosque
August,27,Isya,Committed,Jamaah,Mosque
August,28,Shubuh,Abandoned,,
August,28,Dzuhur,Abandoned,,
August,28,Ashar,Committed,Jamaah,Mosque
August,28,Maghrib,Committed,Alone,Home
August,28,Isya,Committed,Jamaah,Mosque
August,29,Shubuh,Committed,Alone,Home
August,29,Dzuhur,Committed,Jamaah,Mosque
August,29,Ashar,Committed,Alone,Home
August,29,Maghrib,Committed,Alone,Home
August,29,Isya,Committed,Jamaah,Mosque
August,30,Shubuh,Committed,Alone,Mosque
August,30,Dzuhur,Committed,Alone,Home
August,30,Ashar,Committed,Jamaah,Mosque
August,30,Maghrib,Committed,Alone,Mosque
August,30,Isya,Committed,Jamaah,Mosque
August,31,Shubuh,Committed,Alone,Home
August,31,Dzuhur,Committed,Alone,Home
August,31,Ashar,Committed,Jamaah,Mosque
