Month,Date,Shalat,Commitment,Person,Place
December,1,Shubuh,Committed,Alone,Home
December,1,Dzuhur,Committed,Jamaah,Mosque
December,1,Ashar,Committed,Alone,Home
December,1,Maghrib,Committed,Alone,Home
December,1,Isya,Committed,Jamaah,Mosque
December,2,Shubuh,Committed,Alone,Home
December,2,Dzuhur,Committed,Jamaah,Mosque
December,2,Ashar,Abandoned,,
December,2,Maghrib,Abandoned,,
December,2,Isya,Committed,Jamaah,Mosque
December,3,Shubuh,Abandoned,,
December,3,Dzuhur,Committed,Alone,Home
December,3,Ashar,Committed,Alone,Home
December,3,Maghrib,Committed,Alone,Home
December,3,Isya,Committed,Jamaah,Mosque
December,4,Shubuh,Abandoned,,
December,4,Dzuhur,Committed,Alone,Mosque
December,4,Ashar,Abandoned,,
December,4,Maghrib,Committed,Alone,Home
December,4,Isya,Committed,Jamaah,Mosque
December,5,Shubuh,Abandoned,,
December,5,Dzuhur,Abandoned,,
December,5,Ashar,Abandoned,,
December,5,Maghrib,Abandoned,,
December,5,Isya,Abandoned,,
December,6,Shubuh,Abandoned,,
December,6,Dzuhur,Committed,Alone,Mosque
December,6,Ashar,Committed,Alone,Home
December,6,Maghrib,Committed,Alone,Home
December,6,Isya,Abandoned,,
December,7,Shubuh,Abandoned,,
December,7,Dzuhur,Abandoned,,
December,7,Ashar,Committed,Jamaah,Mosque
December,7,Maghrib,Committed,Alone,Home
December,7,Isya,Committed,Jamaah,Mosque
December,8,Shubuh,Committed,Alone,Home
December,8,Dzuhur,Committed,Alone,Mosque
December,8,Ashar,Committed,Alone,Home
December,8,Maghrib,Committed,Alone,Home
December,8,Isya,Committed,Jamaah,Mosque
December,9,Shubuh,Abandoned,,
December,9,Dzuhur,Committed,Jamaah,Mosque
December,9,Ashar,Committed,Alone,Home
December,9,Maghrib,Abandoned,,
December,9,Isya,Committed,Jamaah,Mosque
December,10,Shubuh,Abandoned,,
December,10,Dzuhur,Committed,Alone,Mosque
December,10,Ashar,Committed,Jamaah,Mosque
December,10,Maghrib,Abandoned,,
December,10,Isya,Committed,Alone,Home
December,11,Shubuh,Abandoned,,
December,11,Dzuhur,Committed,Alone,Home
December,11,Ashar,Committed,Jamaah,Mosque
December,11,Maghrib,Committed,Alone,Home
December,11,Isya,Abandoned,,
December,12,Shubuh,Committed,Alone,Home
December,12,Dzuhur,Committed,Jamaah,Mosque
December,12,Ashar,Committed,Jamaah,Mosque
December,12,Maghrib,Committed,Alone,Home
December,12,Isya,Committed,Alone,Home
December,13,Shubuh,Abandoned,,
December,13,Dzuhur,Abandoned,,
December,13,Ashar,Abandoned,,
December,13,Maghrib,Committed,Alone,Home
December,13,Isya,Committed,Jamaah,Mosque
