 Month,Date,Shalat,Commitment,Person,Place
February,1,Shubuh,Abandoned,,
February,1,Dzuhur,Committed,Jamaah,Mosque
February,1,Ashar,Committed,Jamaah,Mosque
February,1,Maghrib,Committed,Alone,Home
February,1,Isya,Committed,Jamaah,Mosque
February,2,Shubuh,Abandoned,,
February,2,Dzuhur,Committed,Alone,Mosque
February,2,Ashar,Committed,Jamaah,Mosque
February,2,Maghrib,Committed,Jamaah,Mosque
February,2,Isya,Committed,Jamaah,Mosque
February,3,Shubuh,Abandoned,,
February,3,Dzuhur,Committed,Jamaah,Mosque
February,3,Ashar,Committed,Jamaah,Mosque
February,3,Maghrib,Abandoned,,
February,3,Isya,Committed,Jamaah,Mosque
February,4,Shubuh,Abandoned,,
February,4,Dzuhur,Committed,Alone,Home
February,4,Ashar,Committed,Jamaah,Mosque
February,4,Maghrib,Committed,Alone,Home
February,4,Isya,Committed,Jamaah,Mosque
February,5,Shubuh,Abandoned,,
February,5,Dzuhur,Abandoned,,
February,5,Ashar,Committed,Alone,Home
February,5,Maghrib,Committed,Jamaah,Mosque
February,5,Isya,Committed,Jamaah,Mosque
February,6,Shubuh,Abandoned,,
February,6,Dzuhur,Committed,Alone,Home
February,6,Ashar,Committed,Jamaah,Mosque
February,6,Maghrib,Committed,Alone,Home
February,6,Isya,Committed,Jamaah,Mosque
February,7,Shubuh,Abandoned,,
February,7,Dzuhur,Committed,Jamaah,Mosque
February,7,Ashar,Committed,Jamaah,Mosque
February,7,Maghrib,Committed,Alone,Home
February,7,Isya,Committed,Jamaah,Mosque
February,8,Shubuh,Abandoned,,
February,8,Dzuhur,Abandoned,,
February,8,Ashar,Committed,Jamaah,Mosque
February,8,Maghrib,Abandoned,,
February,8,Isya,Committed,Jamaah,Mosque
February,9,Shubuh,Committed,Alone,Home
February,9,Dzuhur,Committed,Jamaah,Mosque
February,9,Ashar,Committed,Jamaah,Mosque
February,9,Maghrib,Committed,Jamaah,Mosque
February,9,Isya,Committed,Jamaah,Mosque
February,10,Shubuh,Committed,Jamaah,Mosque
February,10,Dzuhur,Committed,Alone,Home
February,10,Ashar,Committed,Jamaah,Mosque
February,10,Maghrib,Committed,Alone,Home
February,10,Isya,Committed,Jamaah,Mosque
February,11,Shubuh,Abandoned,,
February,11,Dzuhur,Committed,Alone,Mosque
February,11,Ashar,Committed,Alone,Home
February,11,Maghrib,Committed,Jamaah,Mosque
February,11,Isya,Committed,Jamaah,Mosque
February,12,Shubuh,Abandoned,,
February,12,Dzuhur,Committed,Jamaah,Mosque
February,12,Ashar,Committed,Jamaah,Mosque
February,12,Maghrib,Committed,Alone,Home
February,12,Isya,Committed,Jamaah,Mosque
February,13,Shubuh,Abandoned,,
February,13,Dzuhur,Committed,Jamaah,Mosque
February,13,Ashar,Committed,Jamaah,Mosque
February,13,Maghrib,Abandoned,,
February,13,Isya,Committed,Jamaah,Mosque
February,14,Shubuh,Abandoned,,
February,14,Dzuhur,Committed,Jamaah,Mosque
February,14,Ashar,Committed,Alone,Mosque
February,14,Maghrib,Abandoned,,
February,14,Isya,Committed,Jamaah,Mosque
February,15,Shubuh,Abandoned,,
February,15,Dzuhur,Abandoned,,
February,15,Ashar,Committed,Jamaah,Mosque
February,15,Maghrib,Committed,Jamaah,Mosque
February,15,Isya,Committed,Jamaah,Mosque
February,16,Shubuh,Abandoned,,
February,16,Dzuhur,Abandoned,,
February,16,Ashar,Abandoned,,
February,16,Maghrib,Committed,Alone,Home
February,16,Isya,Committed,Alone,Home
February,17,Shubuh,Abandoned,,
February,17,Dzuhur,Committed,Jamaah,Mosque
February,17,Ashar,Committed,Jamaah,Mosque
February,17,Maghrib,Abandoned,,
February,17,Isya,Committed,Jamaah,Mosque
February,18,Shubuh,Abandoned,,
February,18,Dzuhur,Committed,Jamaah,Mosque
February,18,Ashar,Committed,Jamaah,Mosque
February,18,Maghrib,Committed,Alone,Home
February,18,Isya,Committed,Jamaah,Mosque
February,19,Shubuh,Committed,Alone,Home
February,19,Dzuhur,Abandoned,,
February,19,Ashar,Abandoned,,
February,19,Maghrib,Committed,Alone,Home
February,19,Isya,Committed,Alone,Home
February,20,Shubuh,Committed,Alone,Home
February,20,Dzuhur,Committed,Jamaah,Mosque
February,20,Ashar,Committed,Jamaah,Mosque
February,20,Maghrib,Committed,Alone,Home
February,20,Isya,Committed,Alone,Home
February,21,Shubuh,Committed,Alone,Home
February,21,Dzuhur,Committed,Jamaah,Mosque
February,21,Ashar,Committed,Alone,Home
February,21,Maghrib,Committed,Alone,Home
February,21,Isya,Committed,Alone,Home
February,22,Shubuh,Abandoned,,
February,22,Dzuhur,Abandoned,,
February,22,Ashar,Committed,Jamaah,Mosque
