Month,Date,Shalat,Commitment,Person,Place
January,1,Dzuhur,Committed,Jamaah,Mosque
January,1,Ashar,Committed,Jamaah,Mosque
January,1,Maghrib,Committed,Jamaah,Mosque
January,1,Isya,Committed,Jamaah,Mosque
January,1,Dzuhur,Committed,Jamaah,Mosque
January,2,Isya,Committed,Jamaah,Mosque
January,2,Maghrib,Committed,Jamaah,Mosque
January,2,Isya,Committed,Jamaah,Mosque
January,2,Dzuhur,Committed,Jamaah,Mosque
January,2,Ashar,Committed,Jamaah,Mosque
January,3,Isya,Committed,Jamaah,Mosque
January,3,Dzuhur,Committed,Jamaah,Mosque
January,3,Ashar,Committed,Jamaah,Mosque
January,3,Isya,Committed,Jamaah,Mosque
January,3,Dzuhur,Committed,Alone,Mosque
January,4,Ashar,Committed,Jamaah,Mosque
January,4,Shubuh,Committed,Jamaah,Mosque
January,4,Ashar,Committed,Jamaah,Mosque
January,4,Ashar,Committed,Jamaah,Mosque
January,4,Ashar,Committed,Alone,Mosque
January,5,Maghrib,Committed,Alone,Mosque
January,5,Isya,Committed,Alone,Mosque
January,5,Dzuhur,Committed,Alone,Mosque
January,5,Ashar,Committed,Alone,Mosque
January,5,Maghrib,Committed,Jamaah,Mosque
January,6,Isya,Committed,Alone,Mosque
January,6,Isya,Committed,Jamaah,Mosque
January,6,Dzuhur,Committed,Jamaah,Mosque
January,6,Ashar,Committed,Jamaah,Mosque
January,6,Maghrib,Committed,Jamaah,Mosque
January,7,Isya,Committed,Jamaah,Mosque
January,7,Ashar,Committed,Jamaah,Mosque
January,7,Dzuhur,Committed,Alone,Mosque
January,7,Ashar,Committed,Jamaah,Mosque
January,7,Dzuhur,Committed,Jamaah,Mosque
January,8,Dzuhur,Committed,Jamaah,Mosque
January,8,Ashar,Committed,Jamaah,Mosque
January,8,Ashar,Committed,Jamaah,Mosque
January,8,Dzuhur,Committed,Jamaah,Mosque
January,8,Ashar,Committed,Alone,Mosque
January,9,Ashar,Committed,Alone,Mosque
January,9,Maghrib,Committed,Jamaah,Mosque
January,9,Dzuhur,Committed,Alone,Mosque
January,9,Isya,Committed,Jamaah,Mosque
January,9,Dzuhur,Committed,Jamaah,Mosque
January,10,Dzuhur,Committed,Jamaah,Mosque
January,10,Ashar,Committed,Alone,Mosque
January,10,Isya,Committed,Jamaah,Mosque
January,10,Ashar,Committed,Jamaah,Mosque
January,10,Isya,Committed,Jamaah,Mosque
January,11,Dzuhur,Committed,Jamaah,Mosque
January,11,Ashar,Committed,Jamaah,Mosque
January,11,Isya,Committed,Jamaah,Mosque
January,11,Ashar,Committed,Jamaah,Mosque
January,11,Dzuhur,Committed,Jamaah,Mosque
January,12,Isya,Committed,Jamaah,Mosque
January,12,Shubuh,Committed,Alone,Home
January,12,Maghrib,Committed,Alone,Home
January,12,Shubuh,Committed,Alone,Home
January,12,Maghrib,Committed,Alone,Home
January,13,Maghrib,Committed,Alone,Home
January,13,Maghrib,Committed,Alone,Home
January,13,Isya,Committed,Alone,Home
January,13,Maghrib,Committed,Alone,Home
January,13,Isya,Committed,Alone,Home
January,14,Shubuh,Committed,Alone,Home
January,14,Maghrib,Committed,Alone,Home
January,14,Isya,Committed,Alone,Home
January,14,Shubuh,Committed,Alone,Home
January,14,Dzuhur,Committed,Alone,Home
January,15,Maghrib,Committed,Alone,Home
January,15,Isya,Committed,Alone,Home
January,15,Shubuh,Committed,Alone,Home
January,15,Dzuhur,Committed,Alone,Home
January,15,Isya,Committed,Alone,Home
January,16,Ashar,Committed,Alone,Home
January,16,Maghrib,Committed,Alone,Home
January,16,Isya,Committed,Alone,Home
January,16,Shubuh,Committed,Alone,Home
January,16,Dzuhur,Committed,Alone,Home
January,17,Maghrib,Committed,Alone,Home
January,17,Shubuh,Committed,Alone,Home
January,17,Maghrib,Committed,Alone,Home
January,17,Isya,Committed,Alone,Home
January,17,Shubuh,Committed,Alone,Home
January,18,Dzuhur,Committed,Alone,Home
January,18,Isya,Committed,Alone,Home
January,18,Isya,Committed,Alone,Home
January,18,Isya,Committed,Alone,Home
January,18,Ashar,Committed,Alone,Home
January,19,Maghrib,Committed,Alone,Home
January,19,Ashar,Committed,Alone,Home
January,19,Maghrib,Committed,Alone,Home
January,19,Isya,Committed,Jamaah,Home
January,19,Shubuh,Committed,Alone,Home
January,20,Ashar,Committed,Alone,Home
January,20,Maghrib,Committed,Alone,Home
January,20,Isya,Committed,Jamaah,Home
January,20,Dzuhur,Committed,Alone,Home
January,20,Maghrib,Committed,Alone,Home
January,21,Shubuh,Committed,Alone,Home
January,21,Shubuh,Committed,Alone,Home
January,21,Dzuhur,Committed,Alone,Home
January,21,Maghrib,Committed,Alone,Home
January,21,Isya,Committed,Alone,Home
January,22,Shubuh,Abandoned,,
January,22,Ashar,Abandoned,,
January,22,Dzuhur,Abandoned,,
January,22,Ashar,Abandoned,,
January,22,Shubuh,Abandoned,,
January,23,Shubuh,Abandoned,,
January,23,Shubuh,Abandoned,,
January,23,Dzuhur,Abandoned,,
January,23,Dzuhur,Abandoned,,
January,23,Ashar,Abandoned,,
January,24,Shubuh,Abandoned,,
January,24,Dzuhur,Abandoned,,
January,24,Shubuh,Abandoned,,
January,24,Dzuhur,Abandoned,,
January,24,Ashar,Abandoned,,
January,25,Maghrib,Abandoned,,
January,25,Shubuh,Abandoned,,
January,25,Shubuh,Abandoned,,
January,25,Maghrib,Abandoned,,
January,25,Shubuh,Abandoned,,
January,26,Shubuh,Abandoned,,
January,26,Dzuhur,Abandoned,,
January,26,Ashar,Abandoned,,
January,26,Maghrib,Abandoned,,
January,26,Isya,Abandoned,,
January,27,Maghrib,Abandoned,,
January,27,Isya,Abandoned,,
January,27,Shubuh,Abandoned,,
January,27,Ashar,Abandoned,,
January,27,Isya,Abandoned,,
January,28,Maghrib,Abandoned,,
January,28,Shubuh,Abandoned,,
January,28,Maghrib,Abandoned,,
January,28,Shubuh,Abandoned,,
January,28,Dzuhur,Abandoned,,
January,29,Shubuh,Abandoned,,
January,29,Shubuh,Abandoned,,
January,29,Shubuh,Abandoned,,
January,29,Shubuh,Abandoned,,
January,29,Dzuhur,Abandoned,,
January,30,Ashar,Abandoned,,
January,30,Maghrib,Abandoned,,
January,30,Isya,Abandoned,,
January,30,Dzuhur,Abandoned,,
January,30,Maghrib,Committed,,
January,31,Shubuh,Abandoned,,
January,31,Maghrib,Abandoned,,
January,31,Shubuh,Abandoned,,
January,31,Ashar,Abandoned,,
January,31,Maghrib,Abandoned,,
