Month,Date,Shalat,Commitment,Person,Place
July,1,Shubuh,Committed,Alone,Home
July,1,Dzuhur,Committed,Jamaah,Mosque
July,1,Ashar,Committed,Jamaah,Mosque
July,1,Maghrib,Committed,Alone,Home
July,1,Isya,Committed,Jamaah,Mosque
July,2,Shubuh,Committed,Alone,Home
July,2,Dzuhur,Committed,Alone,Mosque
July,2,Ashar,Committed,Jamaah,Mosque
July,2,Maghrib,Committed,Alone,Home
July,2,Isya,Committed,Alone,Home
July,3,Shubuh,Committed,Alone,Home
July,3,Dzuhur,Committed,Alone,Mosque
July,3,Ashar,Committed,Jamaah,Mosque
July,3,Maghrib,Committed,Alone,Home
July,3,Isya,Committed,Alone,Home
July,4,Shubuh,Committed,Alone,Home
July,4,Dzuhur,Committed,Jamaah,Mosque
July,4,Ashar,Committed,Jamaah,Mosque
July,4,Maghrib,Committed,Alone,Home
July,4,Isya,Committed,Alone,Home
July,5,Shubuh,Committed,Alone,Home
July,5,Dzuhur,Committed,Alone,Home
July,5,Ashar,Committed,Jamaah,Mosque
July,5,Maghrib,Committed,Alone,Home
July,5,Isya,Committed,Alone,Home
July,6,Shubuh,Abandoned,,
July,6,Dzuhur,Committed,Jamaah,Mosque
July,6,Ashar,Committed,Alone,Home
July,6,Maghrib,Committed,Alone,Home
July,6,Isya,Committed,Alone,Home
July,7,Shubuh,Committed,Alone,Home
July,7,Dzuhur,Committed,Alone,Mosque
July,7,Ashar,Committed,Jamaah,Mosque
July,7,Maghrib,Committed,Alone,Home
July,7,Isya,Committed,Alone,Home
July,8,Shubuh,Committed,Alone,Home
July,8,Dzuhur,Committed,Jamaah,Mosque
July,8,Ashar,Committed,Alone,Home
July,8,Maghrib,Committed,Alone,Home
July,8,Isya,Committed,Jamaah,Mosque
July,9,Shubuh,Committed,Alone,Home
July,9,Dzuhur,Committed,Alone,Mosque
July,9,Ashar,Committed,Alone,Home
July,9,Maghrib,Committed,Alone,Home
July,9,Isya,Committed,Jamaah,Mosque
July,10,Shubuh,Committed,Alone,Home
July,10,Dzuhur,Committed,Jamaah,Mosque
July,10,Ashar,Abandoned,,
July,10,Maghrib,Committed,Alone,Home
July,10,Isya,Committed,Jamaah,Mosque
July,11,Shubuh,Committed,Alone,Home
July,11,Dzuhur,Committed,Jamaah,Mosque
July,11,Ashar,Committed,Jamaah,Mosque
July,11,Maghrib,Committed,Alone,Home
July,11,Isya,Committed,Jamaah,Mosque
July,12,Shubuh,Committed,Alone,Home
July,12,Dzuhur,Committed,Alone,Home
July,12,Ashar,Committed,Jamaah,Mosque
July,12,Maghrib,Committed,Alone,Home
July,12,Isya,Committed,Jamaah,Mosque
July,13,Shubuh,Committed,Alone,Home
July,13,Dzuhur,Committed,Alone,Home
July,13,Ashar,Committed,Jamaah,Mosque
July,13,Maghrib,Committed,Alone,Home
July,13,Isya,Committed,Jamaah,Mosque
July,14,Shubuh,Committed,Alone,Home
July,14,Dzuhur,Committed,Alone,Home
July,14,Ashar,Committed,Jamaah,Mosque
July,14,Maghrib,Committed,Alone,Home
July,14,Isya,Committed,Jamaah,Mosque
July,15,Shubuh,Committed,Alone,Home
July,15,Dzuhur,Committed,Jamaah,Mosque
July,15,Ashar,Committed,Jamaah,Mosque
