Month,Date,Shalat,Commitment,Person,Place
June,1,Shubuh,Committed,Alone,Home
June,1,Dzuhur,Committed,Alone,Home
June,1,Ashar,Committed,Alone,Mosque
June,1,Maghrib,Committed,Alone,Home
June,1,Isya,Committed,Jamaah,Mosque
June,2,Shubuh,Committed,Alone,Home
June,2,Dzuhur,Committed,Alone,Mosque
June,2,Ashar,Abandoned,,
June,2,Maghrib,Abandoned,,
June,2,Isya,Committed,Jamaah,Mosque
June,3,Shubuh,Committed,Alone,Home
June,3,Dzuhur,Committed,Jamaah,Mosque
June,3,Ashar,Abandoned,,
June,3,Maghrib,Committed,Alone,Home
June,3,Isya,Committed,Jamaah,Mosque
June,4,Shubuh,Committed,Alone,Home
June,4,Dzuhur,Abandoned,,
June,4,Ashar,Committed,Jamaah,Mosque
June,4,Maghrib,Committed,Alone,Home
June,4,Isya,Committed,Jamaah,Mosque
June,5,Shubuh,Committed,Jamaah,Mosque
June,5,Dzuhur,Committed,Alone,Home
June,5,Ashar,Committed,Jamaah,Mosque
June,5,Maghrib,Committed,Alone,Home
June,5,Isya,Committed,Jamaah,Mosque
June,6,Shubuh,Committed,Alone,Home
June,6,Dzuhur,Committed,Jamaah,Mosque
June,6,Ashar,Committed,Alone,Home
June,6,Maghrib,Committed,Jamaah,Mosque
June,6,Isya,Committed,Jamaah,Mosque
June,7,Shubuh,Committed,Alone,Home
June,7,Dzuhur,Committed,Jamaah,Mosque
June,7,Ashar,Committed,Alone,Home
June,7,Maghrib,Committed,Alone,Home
June,7,Isya,Committed,Jamaah,Mosque
June,8,Shubuh,Committed,Alone,Home
June,8,Dzuhur,Abandoned,,
June,8,Ashar,Abandoned,,
June,8,Maghrib,Committed,Alone,Home
June,8,Isya,Committed,Alone,Home
June,9,Shubuh,Committed,Alone,Home
June,9,Dzuhur,Abandoned,,
June,9,Ashar,Abandoned,,
June,9,Maghrib,Committed,Alone,Home
June,9,Isya,Abandoned,,
June,10,Shubuh,Committed,Alone,Home
