Month,Date,Shalat,Commitment,Person,Place
March,1,Shubuh,Committed,Alone,Home
March,1,Dzuhur,Committed,Jamaah,Mosque
March,1,Ashar,Committed,Alone,Home
March,1,Maghrib,Committed,Alone,Home
March,1,Isya,Committed,Jamaah,Mosque
March,2,Shubuh,Committed,Alone,Home
March,2,Dzuhur,Committed,Alone,Home
March,2,Ashar,Committed,Alone,Home
March,2,Maghrib,Committed,Jamaah,Mosque
March,2,Isya,Committed,Alone,Home
March,3,Shubuh,Committed,Alone,Home
March,3,Dzuhur,Committed,Alone,Home
March,3,Ashar,Committed,Jamaah,Mosque
March,3,Maghrib,Committed,Alone,Home
March,3,Isya,Committed,Jamaah,Mosque
March,4,Shubuh,Committed,Alone,Home
March,4,Dzuhur,Committed,Jamaah,Mosque
March,4,Ashar,Committed,Alone,Home
March,4,Maghrib,Committed,Alone,Home
March,4,Isya,Committed,Alone,Home
March,5,Shubuh,Committed,Alone,Home
March,5,Dzuhur,Committed,Jamaah,Mosque
March,5,Ashar,Committed,Alone,Home
March,5,Maghrib,Committed,Alone,Home
March,5,Isya,Committed,Jamaah,Mosque
March,6,Shubuh,Committed,Alone,Home
March,6,Dzuhur,Committed,Alone,Home
March,6,Ashar,Committed,Alone,Home
March,6,Maghrib,Committed,Alone,Home
March,6,Isya,Committed,Jamaah,Mosque
March,7,Shubuh,Committed,Alone,Home
March,7,Dzuhur,Committed,Jamaah,Mosque
March,7,Ashar,Committed,Jamaah,Mosque
March,7,Maghrib,Committed,Alone,Home
March,7,Isya,Abandoned,,
March,8,Shubuh,Committed,Alone,Home
March,8,Dzuhur,Committed,Alone,Home
March,8,Ashar,Committed,Jamaah,Mosque
March,8,Maghrib,Committed,Alone,Home
March,8,Isya,Committed,Alone,Home
March,9,Shubuh,Committed,Alone,Home
March,9,Dzuhur,Committed,Jamaah,Mosque
March,9,Ashar,Committed,Alone,Home
March,9,Maghrib,Abandoned,,
March,9,Isya,Committed,Jamaah,Mosque
March,10,Shubuh,Committed,Alone,Home
March,10,Dzuhur,Abandoned,,
March,10,Ashar,Abandoned,,
March,10,Maghrib,Abandoned,,
March,10,Isya,Committed,Jamaah,Mosque
March,11,Shubuh,Committed,Alone,Home
March,11,Dzuhur,Committed,Jamaah,Mosque
March,11,Ashar,Committed,Jamaah,Mosque
March,11,Maghrib,Committed,Jamaah,Mosque
March,11,Isya,Abandoned,,
March,12,Shubuh,Abandoned,,
March,12,Dzuhur,Committed,Alone,Home
March,12,Ashar,Committed,Jamaah,Mosque
March,12,Maghrib,Committed,Alone,Home
March,12,Isya,Committed,Jamaah,Mosque
March,13,Shubuh,Committed,Alone,Home
March,13,Dzuhur,Abandoned,,
March,13,Ashar,Committed,Jamaah,Mosque
March,13,Maghrib,Committed,Alone,Home
March,13,Isya,Committed,Jamaah,Mosque
March,14,Shubuh,Committed,Alone,Home
March,14,Dzuhur,Committed,Jamaah,Mosque
March,14,Ashar,Committed,Jamaah,Mosque
March,14,Maghrib,Committed,Alone,Home
March,14,Isya,Committed,Jamaah,Mosque
March,15,Shubuh,Committed,Alone,Home
March,15,Dzuhur,Abandoned,,
March,15,Ashar,Committed,Alone,Home
March,15,Maghrib,Committed,Alone,Home
March,15,Isya,Committed,Alone,Home
March,16,Shubuh,Committed,Alone,Home
March,16,Dzuhur,Abandoned,,
March,16,Ashar,Committed,Jamaah,Mosque
March,16,Maghrib,Abandoned,,
March,16,Isya,Committed,Jamaah,Mosque
March,17,Shubuh,Committed,Alone,Home
March,17,Dzuhur,Committed,Jamaah,Mosque
March,17,Ashar,Abandoned,,
March,17,Maghrib,Abandoned,,
March,17,Isya,Committed,Jamaah,Mosque
March,18,Shubuh,Committed,Alone,Home
March,18,Dzuhur,Committed,Alone,Home
March,18,Ashar,Committed,Alone,Mosque
March,18,Maghrib,Committed,Alone,Home
March,18,Isya,Committed,Jamaah,Mosque
March,19,Shubuh,Committed,Alone,Home
March,19,Dzuhur,Abandoned,,
March,19,Ashar,Abandoned,,
March,19,Maghrib,Committed,Alone,Home
March,19,Isya,Committed,Jamaah,Mosque
March,20,Shubuh,Committed,Jamaah,Mosque
March,20,Dzuhur,Committed,Alone,Home
March,20,Ashar,Committed,Jamaah,Mosque
March,20,Maghrib,Committed,Alone,Home
March,20,Isya,Committed,Jamaah,Mosque
March,21,Shubuh,Committed,Alone,Home
March,21,Dzuhur,Committed,Jamaah,Mosque
March,21,Ashar,Committed,Alone,Mosque
March,21,Maghrib,Abandoned,,
March,21,Isya,Committed,Jamaah,Mosque
March,22,Shubuh,Committed,Alone,Home
March,22,Dzuhur,Abandoned,,
March,22,Ashar,Committed,Jamaah,Mosque
March,22,Maghrib,Abandoned,,
March,22,Isya,Committed,Jamaah,Mosque
March,23,Shubuh,Committed,Alone,Home
March,23,Dzuhur,Abandoned,,
March,23,Ashar,Committed,Jamaah,Mosque
March,23,Maghrib,Committed,Alone,Home
March,23,Isya,Committed,Jamaah,Mosque
March,24,Shubuh,Committed,Alone,Home
March,24,Dzuhur,Abandoned,,
March,24,Ashar,Committed,Alone,Home
March,24,Maghrib,Abandoned,,
March,24,Isya,Committed,Jamaah,Mosque
March,25,Shubuh,Committed,Alone,Home
March,25,Dzuhur,Abandoned,,
March,25,Ashar,Committed,Jamaah,Mosque
