Month,Date,Shalat,Commitment,Person,Place
May,1,Shubuh,Abandoned,,
May,1,Dzuhur,Committed,Jamaah,Mosque
May,1,Ashar,Committed,Jamaah,Mosque
May,1,Maghrib,Abandoned,,
May,1,Isya,Committed,Alone,Home
May,2,Shubuh,Abandoned,,
May,2,Dzuhur,Committed,Jamaah,Mosque
May,2,Ashar,Abandoned,,
May,2,Maghrib,Committed,Alone,Home
May,2,Isya,Committed,Jamaah,Mosque
May,3,Shubuh,Abandoned,,
May,3,Dzuhur,Committed,Jamaah,Mosque
May,3,Ashar,Committed,Alone,Home
May,3,Maghrib,Committed,Alone,Home
May,3,Isya,Abandoned,,
May,4,Shubuh,Abandoned,,
May,4,Dzuhur,Committed,Alone,Home
May,4,Ashar,Committed,Jamaah,Mosque
May,4,Maghrib,Committed,Alone,Home
May,4,Isya,Committed,Jamaah,Mosque
May,5,Shubuh,Abandoned,,
May,5,Dzuhur,Committed,Alone,Mosque
May,5,Ashar,Committed,Jamaah,Mosque
May,5,Maghrib,Committed,Alone,Home
May,5,Isya,Committed,Jamaah,Mosque
May,6,Shubuh,Abandoned,,
May,6,Dzuhur,Abandoned,,
May,6,Ashar,Committed,Alone,Home
May,6,Maghrib,Committed,Alone,Home
May,6,Isya,Committed,Alone,Home
May,7,Shubuh,Abandoned,,
May,7,Dzuhur,Abandoned,,
May,7,Ashar,Committed,Alone,Home
May,7,Maghrib,Committed,Jamaah,Mosque
May,7,Isya,Committed,Alone,Home
May,8,Shubuh,Abandoned,,
May,8,Dzuhur,Committed,Jamaah,Mosque
May,8,Ashar,Abandoned,,
May,8,Maghrib,Abandoned,,
May,8,Isya,Committed,Jamaah,Mosque
May,9,Shubuh,Abandoned,,
May,9,Dzuhur,Committed,Jamaah,Mosque
May,9,Ashar,Committed,Jamaah,Mosque
May,9,Maghrib,Committed,Alone,Home
May,9,Isya,Committed,Alone,Home
May,10,Shubuh,Committed,Alone,Home
May,10,Dzuhur,Committed,Jamaah,Mosque
May,10,Ashar,Committed,Jamaah,Mosque
