Month,Date,Shalat,Commitment,Person,Place
November,1,Shubuh,Committed,Alone,Home
November,1,Dzuhur,Abandoned,,
November,1,Ashar,Abandoned,,
November,1,Maghrib,Committed,Alone,Home
November,1,Isya,Committed,Jamaah,Mosque
November,2,Shubuh,Abandoned,,
November,2,Dzuhur,Committed,Alone,Mosque
November,2,Ashar,Committed,Alone,Mosque
November,2,Maghrib,Abandoned,,
November,2,Isya,Committed,Jamaah,Mosque
November,3,Shubuh,Abandoned,,
November,3,Dzuhur,Abandoned,,
November,3,Ashar,Committed,Alone,Home
November,3,Maghrib,Committed,Alone,Home
November,3,Isya,Committed,Jamaah,Mosque
November,4,Shubuh,Committed,Alone,Home
November,4,Dzuhur,Committed,Jamaah,Mosque
November,4,Ashar,Committed,Alone,Home
November,4,Maghrib,Abandoned,,
November,4,Isya,Committed,Jamaah,Mosque
November,5,Shubuh,Abandoned,,
November,5,Dzuhur,Committed,Alone,Home
November,5,Ashar,Committed,Jamaah,Mosque
November,5,Maghrib,Abandoned,,
November,5,Isya,Abandoned,,
November,6,Shubuh,Committed,Alone,Home
November,6,Dzuhur,Committed,Jamaah,Mosque
November,6,Ashar,Abandoned,,
November,6,Maghrib,Committed,Alone,Home
November,6,Isya,Committed,Jamaah,Mosque
November,7,Shubuh,Committed,Alone,Home
November,7,Dzuhur,Committed,Jamaah,Mosque
November,7,Ashar,Abandoned,,
November,7,Maghrib,Committed,Alone,Home
November,7,Isya,Committed,Jamaah,Mosque
November,8,Shubuh,Abandoned,,
November,8,Dzuhur,Abandoned,,
November,8,Ashar,Committed,Alone,Mosque
November,8,Maghrib,Committed,Alone,Home
November,8,Isya,Committed,Jamaah,Mosque
November,9,Shubuh,Abandoned,,
November,9,Dzuhur,Committed,Jamaah,Mosque
November,9,Ashar,Committed,Alone,Mosque
November,9,Maghrib,Abandoned,,
November,9,Isya,Committed,Jamaah,Mosque
November,10,Shubuh,Committed,Alone,Home
November,10,Dzuhur,Committed,Jamaah,Mosque
November,10,Ashar,Abandoned,,
November,10,Maghrib,Abandoned,,
November,10,Isya,Committed,Jamaah,Mosque
November,11,Shubuh,Committed,Alone,Home
November,11,Dzuhur,Committed,Jamaah,Mosque
November,11,Ashar,Committed,Alone,Home
November,11,Maghrib,Committed,Alone,Home
November,11,Isya,Committed,Alone,Home
November,12,Shubuh,Abandoned,,
November,12,Dzuhur,Committed,Jamaah,Mosque
November,12,Ashar,Committed,Jamaah,Mosque
November,12,Maghrib,Committed,Alone,Mosque
November,12,Isya,Committed,Jamaah,Mosque
November,13,Shubuh,Abandoned,,
November,13,Dzuhur,Committed,Alone,Mosque
November,13,Ashar,Abandoned,,
November,13,Maghrib,Committed,Alone,Home
November,13,Isya,Committed,Jamaah,Mosque
November,14,Shubuh,Committed,Alone,Home
November,14,Dzuhur,Committed,Jamaah,Mosque
November,14,Ashar,Committed,Alone,Home
November,14,Maghrib,Committed,Alone,Home
November,14,Isya,Committed,Jamaah,Mosque
November,15,Shubuh,Abandoned,,
November,15,Dzuhur,Abandoned,,
November,15,Ashar,Committed,Jamaah,Mosque
November,15,Maghrib,Committed,Alone,Mosque
November,15,Isya,Committed,Jamaah,Mosque
November,16,Shubuh,Abandoned,,
November,16,Dzuhur,Committed,Alone,Home
November,16,Ashar,Committed,Jamaah,Mosque
November,16,Maghrib,Committed,Alone,Home
November,16,Isya,Committed,Jamaah,Mosque
November,17,Shubuh,Abandoned,,
November,17,Dzuhur,Abandoned,,
November,17,Ashar,Committed,Alone,Home
November,17,Maghrib,Committed,Alone,Home
November,17,Isya,Committed,Jamaah,Mosque
November,18,Shubuh,Abandoned,,
November,18,Dzuhur,Abandoned,,
November,18,Ashar,Committed,Alone,Mosque
November,18,Maghrib,Committed,Alone,Home
November,18,Isya,Committed,Jamaah,Mosque
November,19,Shubuh,Abandoned,,
November,19,Dzuhur,Committed,Jamaah,Mosque
November,19,Ashar,Committed,Alone,Home
November,19,Maghrib,Committed,Alone,Home
November,19,Isya,Committed,Jamaah,Mosque
November,20,Shubuh,Abandoned,,
November,20,Dzuhur,Committed,Jamaah,Mosque
November,20,Ashar,Abandoned,,
November,20,Maghrib,Committed,Alone,Home
November,20,Isya,Committed,Jamaah,Mosque
November,21,Shubuh,Committed,Alone,Home
November,21,Dzuhur,Committed,Jamaah,Mosque
November,21,Ashar,Committed,Jamaah,Mosque
November,21,Maghrib,Committed,Alone,Home
November,21,Isya,Committed,Jamaah,Mosque
November,22,Shubuh,Abandoned,,
November,22,Dzuhur,Abandoned,,
November,22,Ashar,Committed,Alone,Home
November,22,Maghrib,Committed,Alone,Home
November,22,Isya,Committed,Jamaah,Mosque
November,23,Shubuh,Committed,Alone,Home
November,23,Dzuhur,Committed,Jamaah,Mosque
November,23,Ashar,Committed,Jamaah,Mosque
November,23,Maghrib,Committed,Alone,Home
November,23,Isya,Committed,Jamaah,Mosque
