Month,Date,Shalat,Commitment,Person,Place
October,1,Shubuh,Committed,Alone,Home
October,1,Dzuhur,Committed,Alone,Mosque
October,1,Ashar,Committed,Alone,Mosque
October,1,Maghrib,Abandoned,,
October,1,Isya,Committed,Jamaah,Mosque
October,2,Shubuh,Committed,Alone,Home
October,2,Dzuhur,Abandoned,,
October,2,Ashar,Abandoned,,
October,2,Maghrib,Committed,Alone,Home
October,2,Isya,Committed,Jamaah,Mosque
October,3,Shubuh,Abandoned,,
October,3,Dzuhur,Committed,Jamaah,Mosque
October,3,Ashar,Committed,Alone,Mosque
October,3,Maghrib,Committed,Alone,Mosque
October,3,Isya,Committed,Jamaah,Mosque
October,4,Shubuh,Abandoned,,
October,4,Dzuhur,Committed,Alone,Mosque
October,4,Ashar,Committed,Alone,Mosque
October,4,Maghrib,Committed,Alone,Home
October,4,Isya,Committed,Jamaah,Mosque
October,5,Shubuh,Abandoned,,
October,5,Dzuhur,Abandoned,,
October,5,Ashar,Committed,Alone,Mosque
October,5,Maghrib,Committed,Alone,Home
October,5,Isya,Committed,Jamaah,Mosque
October,6,Shubuh,Abandoned,,
October,6,Dzuhur,Committed,Alone,Mosque
October,6,Ashar,Committed,Alone,Home
October,6,Maghrib,Committed,Alone,Home
October,6,Isya,Committed,Jamaah,Mosque
October,7,Shubuh,Committed,Alone,Home
October,7,Dzuhur,Committed,Jamaah,Mosque
October,7,Ashar,Committed,Alone,Home
October,7,Maghrib,Committed,Alone,Home
October,7,Isya,Committed,Jamaah,Mosque
October,8,Shubuh,Abandoned,,
October,8,Dzuhur,Abandoned,,
October,8,Ashar,Abandoned,,
October,8,Maghrib,Abandoned,,
October,8,Isya,Abandoned,,
October,9,Shubuh,Abandoned,,
October,9,Dzuhur,Committed,Jamaah,Mosque
October,9,Ashar,Abandoned,,
October,9,Maghrib,Abandoned,,
October,9,Isya,Committed,Jamaah,Mosque
October,10,Shubuh,Abandoned,,
October,10,Dzuhur,Committed,Jamaah,Mosque
October,10,Ashar,Abandoned,,
October,10,Maghrib,Committed,Alone,Home
October,10,Isya,Committed,Jamaah,Mosque
October,11,Shubuh,Abandoned,,
October,11,Dzuhur,Abandoned,,
October,11,Ashar,Abandoned,,
October,11,Maghrib,Committed,Jamaah,Mosque
October,11,Isya,Committed,Jamaah,Mosque
October,12,Shubuh,Abandoned,,
October,12,Dzuhur,Committed,Alone,Mosque
October,12,Ashar,Committed,Alone,Mosque
October,12,Maghrib,Abandoned,,
October,12,Isya,Committed,Alone,Mosque
October,13,Shubuh,Committed,Alone,Home
October,13,Dzuhur,Abandoned,,
October,13,Ashar,Abandoned,,
October,13,Maghrib,Committed,Alone,Home
October,13,Isya,Committed,Jamaah,Mosque
October,14,Shubuh,Committed,Alone,Home
October,14,Dzuhur,Abandoned,,
October,14,Ashar,Abandoned,,
October,14,Maghrib,Committed,Alone,Home
October,14,Isya,Committed,Jamaah,Mosque
October,15,Shubuh,Committed,Alone,Home
October,15,Dzuhur,Abandoned,,
October,15,Ashar,Committed,Alone,Mosque
October,15,Maghrib,Committed,Alone,Home
October,15,Isya,Committed,Alone,Mosque
October,16,Shubuh,Abandoned,,
October,16,Dzuhur,Abandoned,,
October,16,Ashar,Committed,Alone,Mosque
October,16,Maghrib,Abandoned,,
October,16,Isya,Abandoned,,
October,17,Shubuh,Committed,Alone,Home
October,17,Dzuhur,Committed,Jamaah,Mosque
October,17,Ashar,Committed,Jamaah,Mosque
October,17,Maghrib,Committed,Jamaah,Mosque
October,17,Isya,Committed,Alone,Mosque
October,18,Shubuh,Committed,Alone,Home
October,18,Dzuhur,Committed,Jamaah,Mosque
October,18,Ashar,Committed,Alone,Mosque
October,18,Maghrib,Committed,Alone,Home
October,18,Isya,Committed,Jamaah,Mosque
October,19,Shubuh,Abandoned,,
October,19,Dzuhur,Abandoned,,
October,19,Ashar,Committed,Alone,Home
October,19,Maghrib,Committed,Alone,Home
October,19,Isya,Committed,Alone,Mosque
October,20,Shubuh,Committed,Alone,Home
October,20,Dzuhur,Committed,Alone,Mosque
October,20,Ashar,Abandoned,,
October,20,Maghrib,Abandoned,,
October,20,Isya,Committed,Alone,Mosque
October,21,Shubuh,Abandoned,,
October,21,Dzuhur,Committed,Jamaah,Mosque
October,21,Ashar,Abandoned,,
October,21,Maghrib,Committed,Alone,Home
October,21,Isya,Committed,Jamaah,Mosque
October,22,Shubuh,Committed,Alone,Home
October,22,Dzuhur,Committed,Jamaah,Mosque
October,22,Ashar,Abandoned,,
October,22,Maghrib,Committed,Alone,Home
October,22,Isya,Committed,Jamaah,Mosque
October,23,Shubuh,Committed,Alone,Home
October,23,Dzuhur,Committed,Jamaah,Mosque
October,23,Ashar,Committed,Jamaah,Mosque
October,23,Maghrib,Abandoned,,
October,23,Isya,Committed,Alone,Home
October,24,Shubuh,Abandoned,,
October,24,Dzuhur,Committed,Jamaah,Mosque
October,24,Ashar,Abandoned,,
October,24,Maghrib,Committed,Alone,Home
October,24,Isya,Abandoned,,
October,25,Shubuh,Committed,Alone,Mosque
October,25,Dzuhur,Committed,Jamaah,Mosque
October,25,Ashar,Committed,Alone,Home
October,25,Maghrib,Committed,Alone,Home
October,25,Isya,Abandoned,,
October,26,Shubuh,Abandoned,,
October,26,Dzuhur,Abandoned,,
October,26,Ashar,Committed,Alone,Home
October,26,Maghrib,Committed,Alone,Home
October,26,Isya,Committed,Alone,Home
October,27,Shubuh,Committed,Alone,Home
October,27,Dzuhur,Committed,Jamaah,Mosque
October,27,Ashar,Committed,Jamaah,Mosque
October,27,Maghrib,Committed,Alone,Home
October,27,Isya,Committed,Alone,Home
October,28,Shubuh,Committed,Alone,Home
October,28,Dzuhur,Committed,Alone,Mosque
October,28,Ashar,Abandoned,,
October,28,Maghrib,Committed,Alone,Home
October,28,Isya,Committed,Alone,Home
October,29,Shubuh,Abandoned,,
October,29,Dzuhur,Committed,Alone,Home
October,29,Ashar,Committed,Jamaah,Mosque
October,29,Maghrib,Abandoned,,
October,29,Isya,Committed,Alone,Home
October,30,Shubuh,Committed,Alone,Home
October,30,Dzuhur,Abandoned,,
October,30,Ashar,Committed,Alone,Home
October,30,Maghrib,Abandoned,,
October,30,Isya,Committed,Jamaah,Mosque
October,31,Shubuh,Committed,Alone,Home
October,31,Dzuhur,Committed,Alone,Mosque
October,31,Ashar,Committed,Alone,Home
October,31,Maghrib,Abandoned,,
October,31,Isya,Committed,Jamaah,Mosque
