Month,Date,Shalat,Commitment,Person,Place
September,1,Shubuh,Committed,Alone,Home
September,1,Dzuhur,Committed,Alone,Home
September,1,Ashar,Committed,Jamaah,Mosque
September,1,Maghrib,Committed,Alone,Home
September,1,Isya,Committed,Jamaah,Mosque
September,2,Shubuh,Committed,Alone,Home
September,2,Dzuhur,Committed,Alone,Mosque
September,2,Ashar,Committed,Alone,Home
September,2,Maghrib,Committed,Alone,Home
September,2,Isya,Committed,Jamaah,Mosque
September,3,Shubuh,Committed,Alone,Home
September,3,Dzuhur,Committed,Jamaah,Mosque
September,3,Ashar,Committed,Alone,Mosque
September,3,Maghrib,Committed,Jamaah,Mosque
September,3,Isya,Committed,Alone,Mosque
September,4,Shubuh,Committed,Alone,Home
September,4,Dzuhur,Committed,Alone,Home
September,4,Ashar,Committed,Jamaah,Mosque
September,4,Maghrib,Committed,Alone,Mosque
September,4,Isya,Committed,Jamaah,Mosque
September,5,Shubuh,Committed,Alone,Home
September,5,Dzuhur,Committed,Jamaah,Mosque
September,5,Ashar,Committed,Jamaah,Mosque
September,5,Maghrib,Abandoned,,
September,5,Isya,Committed,Alone,Home
September,6,Shubuh,Committed,Alone,Home
September,6,Dzuhur,Abandoned,,
September,6,Ashar,Committed,Alone,Home
September,6,Maghrib,Committed,Alone,Home
September,6,Isya,Committed,Jamaah,Mosque
September,7,Shubuh,Abandoned,,
September,7,Dzuhur,Committed,Alone,Home
September,7,Ashar,Committed,Jamaah,Mosque
September,7,Maghrib,Committed,Alone,Home
September,7,Isya,Committed,Alone,Mosque
September,8,Shubuh,Committed,Alone,Home
September,8,Dzuhur,Committed,Alone,Mosque
September,8,Ashar,Committed,Alone,Home
September,8,Maghrib,Committed,Alone,Home
September,8,Isya,Committed,Jamaah,Mosque
September,9,Shubuh,Committed,Alone,Home
September,9,Dzuhur,Committed,Alone,Mosque
September,9,Ashar,Abandoned,,
September,9,Maghrib,Abandoned,,
September,9,Isya,Abandoned,,
September,10,Shubuh,Committed,Alone,Home
September,10,Dzuhur,Committed,Jamaah,Mosque
September,10,Ashar,Committed,Alone,Home
September,10,Maghrib,Committed,Alone,Mosque
September,10,Isya,Committed,Alone,Home
September,11,Shubuh,Abandoned,,
September,11,Dzuhur,Committed,Alone,Mosque
September,11,Ashar,Committed,Alone,Home
September,11,Maghrib,Committed,Alone,Home
September,11,Isya,Committed,Jamaah,Mosque
September,12,Shubuh,Abandoned,,
September,12,Dzuhur,Committed,Jamaah,Mosque
September,12,Ashar,Committed,Alone,Home
September,12,Maghrib,Abandoned,,
September,12,Isya,Committed,Alone,Home
September,13,Shubuh,Abandoned,,
September,13,Dzuhur,Committed,Alone,Home
September,13,Ashar,Committed,Jamaah,Mosque
September,13,Maghrib,Committed,Alone,Home
September,13,Isya,Committed,Jamaah,Mosque
September,14,Shubuh,Committed,Alone,Home
September,14,Dzuhur,Abandoned,,
September,14,Ashar,Committed,Alone,Home
September,14,Maghrib,Committed,Alone,Home
September,14,Isya,Committed,Jamaah,Mosque
September,15,Shubuh,Committed,Alone,Home
September,15,Dzuhur,Committed,Jamaah,Mosque
September,15,Ashar,Abandoned,,
September,15,Maghrib,Abandoned,,
September,15,Isya,Committed,Alone,Home
September,16,Shubuh,Committed,Jamaah,Mosque
September,16,Dzuhur,Abandoned,,
September,16,Ashar,Abandoned,,
September,16,Maghrib,Committed,Alone,Home
September,16,Isya,Committed,Jamaah,Mosque
September,17,Shubuh,Abandoned,,
September,17,Dzuhur,Committed,Alone,Home
September,17,Ashar,Abandoned,,
September,17,Maghrib,Committed,Alone,Home
September,17,Isya,Committed,Jamaah,Mosque
September,18,Shubuh,Abandoned,,
September,18,Dzuhur,Committed,Alone,Home
September,18,Ashar,Committed,Jamaah,Mosque
September,18,Maghrib,Committed,Alone,Home
September,18,Isya,Committed,Jamaah,Mosque
September,19,Shubuh,Committed,Alone,Mosque
September,19,Dzuhur,Committed,Alone,Mosque
September,19,Ashar,Abandoned,,
September,19,Maghrib,Committed,Alone,Home
