Month,Date,Shalat,Commitment,Person,Place
January,1,Dzuhur,Committed,Jamaah,Mosque
January,1,Ashar,Committed,Jamaah,Mosque
January,1,Maghrib,Committed,Jamaah,Mosque
January,1,Isya,Committed,Jamaah,Mosque
January,1,Dzuhur,Committed,Jamaah,Mosque
January,2,Isya,Committed,Jamaah,Mosque
January,2,Maghrib,Committed,Jamaah,Mosque
January,2,Isya,Committed,Jamaah,Mosque
January,2,Dzuhur,Committed,Jamaah,Mosque
January,2,Ashar,Committed,Jamaah,Mosque
January,3,Isya,Committed,Jamaah,Mosque
January,3,Dzuhur,Committed,Jamaah,Mosque
January,3,Ashar,Committed,Jamaah,Mosque
January,3,Isya,Committed,Jamaah,Mosque
January,3,Dzuhur,Committed,Alone,Mosque
January,4,Ashar,Committed,Jamaah,Mosque
January,4,Shubuh,Committed,Jamaah,Mosque
January,4,Ashar,Committed,Jamaah,Mosque
January,4,Ashar,Committed,Jamaah,Mosque
January,4,Ashar,Committed,Alone,Mosque
January,5,Maghrib,Committed,Alone,Mosque
January,5,Isya,Committed,Alone,Mosque
January,5,Dzuhur,Committed,Alone,Mosque
January,5,Ashar,Committed,Alone,Mosque
January,5,Maghrib,Committed,Jamaah,Mosque
January,6,Isya,Committed,Alone,Mosque
January,6,Isya,Committed,Jamaah,Mosque
January,6,Dzuhur,Committed,Jamaah,Mosque
January,6,Ashar,Committed,Jamaah,Mosque
January,6,Maghrib,Committed,Jamaah,Mosque
January,7,Isya,Committed,Jamaah,Mosque
January,7,Ashar,Committed,Jamaah,Mosque
January,7,Dzuhur,Committed,Alone,Mosque
January,7,Ashar,Committed,Jamaah,Mosque
January,7,Dzuhur,Committed,Jamaah,Mosque
January,8,Dzuhur,Committed,Jamaah,Mosque
January,8,Ashar,Committed,Jamaah,Mosque
January,8,Ashar,Committed,Jamaah,Mosque
January,8,Dzuhur,Committed,Jamaah,Mosque
January,8,Ashar,Committed,Alone,Mosque
January,9,Ashar,Committed,Alone,Mosque
January,9,Maghrib,Committed,Jamaah,Mosque
January,9,Dzuhur,Committed,Alone,Mosque
January,9,Isya,Committed,Jamaah,Mosque
January,9,Dzuhur,Committed,Jamaah,Mosque
January,10,Dzuhur,Committed,Jamaah,Mosque
January,10,Ashar,Committed,Alone,Mosque
January,10,Isya,Committed,Jamaah,Mosque
January,10,Ashar,Committed,Jamaah,Mosque
January,10,Isya,Committed,Jamaah,Mosque
January,11,Dzuhur,Committed,Jamaah,Mosque
January,11,Ashar,Committed,Jamaah,Mosque
January,11,Isya,Committed,Jamaah,Mosque
January,11,Ashar,Committed,Jamaah,Mosque
January,11,Dzuhur,Committed,Jamaah,Mosque
January,12,Isya,Committed,Jamaah,Mosque
January,12,Shubuh,Committed,Alone,Home
January,12,Maghrib,Committed,Alone,Home
January,12,Shubuh,Committed,Alone,Home
January,12,Maghrib,Committed,Alone,Home
January,13,Maghrib,Committed,Alone,Home
January,13,Maghrib,Committed,Alone,Home
January,13,Isya,Committed,Alone,Home
January,13,Maghrib,Committed,Alone,Home
January,13,Isya,Committed,Alone,Home
January,14,Shubuh,Committed,Alone,Home
January,14,Maghrib,Committed,Alone,Home
